Epoch1 Loss: 584200.0, New Best Found!!
Epoch252 Loss: 206.6531049454483, New Best Found!!
Epoch253 Loss: 206.066129996629, New Best Found!!
Epoch254 Loss: 205.48452282895877, New Best Found!!
Epoch255 Loss: 204.90823104534127, New Best Found!!
Epoch256 Loss: 204.3372005324763, New Best Found!!
Epoch257 Loss: 203.77137560015646, New Best Found!!
Epoch258 Loss: 203.210699141498, New Best Found!!
Epoch259 Loss: 202.65511280933254, New Best Found!!
Epoch260 Loss: 202.10455720393787, New Best Found!!
Epoch261 Loss: 201.55897206746047, New Best Found!!
Epoch262 Loss: 201.01829648067584, New Best Found!!
Epoch263 Loss: 200.48246905811627, New Best Found!!
Epoch264 Loss: 199.95142813809326, New Best Found!!
Epoch265 Loss: 199.42511196467456, New Best Found!!
Epoch266 Loss: 198.9034588592234, New Best Found!!
Epoch267 Loss: 198.38640737963422, New Best Found!!
Epoch268 Loss: 197.87389646596137, New Best Found!!
Epoch269 Loss: 197.36586557156204, New Best Found!!
Epoch270 Loss: 196.86225477935497, New Best Found!!
Epoch271 Loss: 196.36300490312377, New Best Found!!
Epoch272 Loss: 195.8680575741349, New Best Found!!
Epoch273 Loss: 195.37735531358837, New Best Found!!
Epoch274 Loss: 194.89084159159964, New Best Found!!
Epoch275 Loss: 194.4084608735897, New Best Found!!
Epoch276 Loss: 193.9301586550297, New Best Found!!
Epoch277 Loss: 193.45588148557226, New Best Found!!
Epoch278 Loss: 192.98557698361324, New Best Found!!
Epoch279 Loss: 192.519193842341, New Best Found!!
Epoch280 Loss: 192.05668182830388, New Best Found!!
Epoch281 Loss: 191.5979917734709, New Best Found!!
Epoch282 Loss: 191.1430755617519, New Best Found!!
Epoch283 Loss: 190.69188611083152, New Best Found!!
Epoch284 Loss: 190.24437735013728, New Best Found!!
Epoch285 Loss: 189.8005041956912, New Best Found!!
Epoch286 Loss: 189.3602225225031, New Best Found!!
Epoch287 Loss: 188.9234891351197, New Best Found!!
Epoch288 Loss: 188.4902617368558, New Best Found!!
Epoch289 Loss: 188.0604988981844, New Best Found!!
Epoch290 Loss: 187.63416002467616, New Best Found!!
Epoch291 Loss: 187.21120532486987, New Best Found!!
Epoch292 Loss: 186.79159577833084, New Best Found!!
Epoch293 Loss: 186.37529310418515, New Best Found!!
Epoch294 Loss: 185.96225973031025, New Best Found!!
Epoch295 Loss: 185.55245876335238, New Best Found!!
Epoch296 Loss: 185.1458539597132, New Best Found!!
Epoch297 Loss: 184.74240969759498, New Best Found!!
Epoch298 Loss: 184.34209095017442, New Best Found!!
Epoch299 Loss: 183.94486325997235, New Best Found!!
Epoch300 Loss: 183.55069271442972, New Best Found!!
Epoch301 Loss: 183.15954592271817, New Best Found!!
Epoch302 Loss: 182.7713899937766, New Best Found!!
Epoch303 Loss: 182.38619251556193, New Best Found!!
